CXCR1低表达（现病史/既往史）	CXCR1低表达
Hp感染史（现病史/既往史）	Hp感染史
PRSS1、SPINK1、CFTR、CASR、CTRC基因突变	PRSS1、SPINK1、CFTR、CASR、CTRC基因突变
板状腹（首次病程+专科情况）	板状腹
饱餐、进食油腻食物史（现病史/既往史）	饱餐、进食油腻食物史
病毒(腮腺炎、柯萨奇病毒、巨细胞病毒、水痘、单纯疱疹病毒、HIV)、细菌(支原体、军团菌、钩端螺旋体、沙门氏菌)、寄生虫(弓形虫、隐孢子虫、蛔虫)和真菌(曲霉)-既往史	病毒(腮腺炎、柯萨奇病毒、巨细胞病毒、水痘、单纯疱疹病毒、HIV)、细菌(支原体、军团菌、钩端螺旋体、沙门氏菌)、寄生虫(弓形虫、隐孢子虫、蛔虫)和真菌( 曲霉)
不孕(风险随不孕时间的延长而增加)-婚育史	不孕(风险随不孕时间的延长而增加)
肠鸣音减弱（病程晚期）（体格检查和首次病程）	肠鸣音减弱（病程晚期）
肠鸣音亢进（病程早期）（体格检查和首次病程）	肠鸣音亢进（病程早期）
肠鸣音消失（首次病程）	肠鸣音消失
肠系膜缺血（既往史）	肠系膜缺血
超过一个性伴侣（现病史/既往史）	超过一个性伴侣
持续性腹痛（现病史）	持续性腹痛
胆结石（既往史+现病史）	胆结石病史
低钙饮食（现病史/既往史）	低钙饮食
低血压（体格检查）	低血压
短肠综合征（现病史/既往史）	短肠综合征
多发性骨髓瘤（现病史/既往史）	多发性骨髓瘤
恶心呕吐（现病史）	恶心呕吐
二乙基己烯雌酚（既往史）	二乙基己烯雌酚接触史
反跳痛或肌紧张（体格检查）	反跳痛或肌紧张
放射痛（侧腹、腹股沟、睾丸或大阴唇）（现病史）	放射痛（侧腹、腹股沟、睾丸或大阴唇）
放射痛（放射到同侧半腹或背部），现病史	放射痛（放射到同侧半腹或背部）
放射痛（右侧肩部、肩胛和背部）（现病史）	放射痛（右侧肩部、肩胛和背部）
非甾体抗炎药，氯化钾肠溶片使用史（既往史）	非甾体抗炎药，氯化钾肠溶片使用史
肥胖（现病史/既往史）	肥胖
附件区压痛（首次病程）	附件区压痛
附件压痛（首次病程）	附件压痛
附件肿块（体格检查）	附件肿块
腹部叩诊鼓音（体格检查和首次病程）	腹部叩诊鼓音
腹部手术史（手术史）	腹部手术史
